ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/04/27,"36,125,159","376,606,115",10.4,10.55,10.3,10.3,-0.1,"6,760"
105/04/28,"47,666,331","484,652,168",10.4,10.45,10,10.05,-0.25,"7,637"
105/04/29,"42,726,897","427,024,130",10,10.1,9.91,10,-0.05,"7,372"
105/05/03,"37,568,321","370,726,216",10,10.05,9.8,9.8,-0.2,"7,997"
105/05/04,"44,752,890","429,504,318",9.8,9.85,9.5,9.51,-0.29,"9,563"
105/05/05,"29,924,206","286,684,735",9.55,9.66,9.5,9.58,0.07,"6,182"
105/05/06,"27,576,098","261,476,197",9.58,9.59,9.41,9.48,-0.1,"5,611"
105/05/09,"26,998,318","259,332,576",9.6,9.69,9.49,9.55,0.07,"6,380"
105/05/10,"20,474,242","196,068,987",9.6,9.64,9.53,9.63,0.08,"5,257"
105/05/11,"27,748,636","265,958,906",9.7,9.75,9.49,9.49,-0.14,"5,825"
105/05/12,"15,244,229","145,443,891",9.49,9.6,9.49,9.55,0.06,"3,429"
105/05/13,"44,582,883","414,729,867",9.59,9.59,9.1,9.23,-0.32,"10,718"
105/05/16,"31,190,965","284,693,570",9.2,9.23,9.03,9.19,-0.04,"6,239"
105/05/17,"37,005,922","337,703,192",9.19,9.19,9.04,9.18,-0.01,"7,144"
105/05/18,"33,366,121","303,255,305",9.09,9.14,9.05,9.08,-0.1,"6,620"
105/05/19,"24,791,829","225,225,062",9.08,9.14,9.05,9.07,-0.01,"4,999"
105/05/20,"49,516,517","453,916,738",9.09,9.32,9.03,9.2,0.13,"9,429"
105/05/23,"80,986,666","779,036,106",9.37,9.77,9.33,9.75,0.55,"14,050"
105/05/24,"52,464,426","499,203,286",9.65,9.66,9.45,9.45,-0.3,"10,761"
105/05/25,"50,235,643","480,975,394",9.57,9.64,9.51,9.55,0.1,"10,629"
105/05/26,"19,344,342","184,999,093",9.6,9.6,9.52,9.6,0.05,"4,186"
105/05/27,"48,643,375","472,310,064",9.66,9.8,9.62,9.78,0.18,"9,362"
105/05/30,"29,782,366","287,752,129",9.77,9.77,9.62,9.63,-0.15,"7,376"
105/05/31,"43,854,537","423,901,113",9.65,9.73,9.61,9.67,0.04,"5,432"
105/06/01,"80,600,355","801,195,825",9.67,10.1,9.67,9.98,0.31,"12,762"
105/06/02,"41,881,203","413,411,746",9.98,10.05,9.75,9.75,-0.23,"7,742"
105/06/03,"30,196,707","293,979,042",9.8,9.86,9.66,9.71,-0.04,"5,563"
105/06/04,"9,324,627","90,480,944",9.77,9.78,9.68,9.68,-0.03,"2,082"
105/06/06,"48,560,796","479,000,768",9.78,10.05,9.75,9.76,0.08,"7,409"
105/06/07,"27,694,910","270,988,428",9.84,9.88,9.75,9.76,0,"6,095"
105/06/08,"44,897,347","434,626,543",9.75,9.77,9.62,9.69,-0.07,"9,624"
105/06/13,"40,667,199","386,391,353",9.69,9.69,9.35,9.37,-0.32,"9,451"
105/06/14,"24,714,765","232,805,615",9.37,9.45,9.35,9.45,0.08,"7,162"
105/06/15,"33,672,824","314,608,804",9.45,9.49,9.25,9.33,-0.12,"8,082"
105/06/16,"31,764,868","293,722,563",9.33,9.37,9.19,9.26,-0.07,"5,984"
105/06/17,"57,070,809","531,964,806",9.32,9.42,9.25,9.29,0.03,"11,213"
105/06/20,"43,245,219","411,197,208",9.52,9.54,9.45,9.53,0.24,"8,010"
105/06/21,"25,798,431","246,105,046",9.53,9.57,9.5,9.55,0.02,"5,822"
105/06/22,"23,186,525","222,033,305",9.6,9.64,9.52,9.6,0.05,"4,633"
105/06/23,"22,998,783","220,891,819",9.65,9.67,9.57,9.57,-0.03,"4,657"
105/06/24,"54,917,745","518,999,931",9.6,9.68,9.24,9.37,-0.2,"11,345"
105/06/27,"23,104,874","218,619,336",9.31,9.52,9.31,9.51,0.14,"4,371"
105/06/28,"47,756,098","456,093,865",9.46,9.65,9.42,9.61,0.1,"11,490"
105/06/29,"194,498,190","1,982,192,758",9.9,10.5,9.88,10.5,0.89,"25,048"
105/06/30,"221,835,660","2,399,692,124",10.7,11.05,10.5,10.8,0.3,"33,239"
105/07/01,"105,098,382","1,143,500,449",11.1,11.2,10.7,10.75,-0.05,"18,212"
105/07/04,"55,962,020","608,817,812",10.8,11,10.7,10.95,0.2,"9,947"
105/07/05,"58,688,929","640,709,985",10.9,11.05,10.8,11,0.05,"9,637"
105/07/06,"51,497,066","553,686,976",10.9,10.9,10.6,10.7,-0.3,"8,560"
105/07/07,"80,118,373","871,914,459",10.85,11,10.75,10.9,0.2,"10,143"
105/07/11,"84,435,147","909,559,018",10.9,10.9,10.6,10.6,X0.00,"11,338"
105/07/12,"56,313,628","595,784,128",10.7,10.7,10.5,10.55,-0.05,"10,197"
105/07/13,"75,908,631","804,094,064",10.6,10.7,10.5,10.6,0.05,"11,789"
105/07/14,"48,654,871","520,007,347",10.6,10.8,10.55,10.7,0.1,"9,064"
105/07/15,"42,052,544","450,407,077",10.7,10.8,10.65,10.7,0,"7,569"
105/07/18,"73,820,736","804,805,288",10.8,11,10.75,10.9,0.2,"11,322"
105/07/19,"208,179,083","2,346,571,582",11.1,11.5,11.05,11.5,0.6,"29,764"
105/07/20,"96,566,047","1,095,864,247",11.4,11.5,11.25,11.25,-0.25,"21,475"
105/07/21,"231,009,735","2,730,601,135",11.45,12.05,11.45,11.75,0.5,"35,502"
105/07/22,"120,287,221","1,421,659,313",11.85,12,11.55,11.9,0.15,"19,374"
105/07/25,"116,206,292","1,357,772,481",12,12.1,11.4,11.6,-0.3,"17,756"
105/07/26,"51,485,908","599,578,473",11.6,11.75,11.45,11.7,0.1,"8,748"
105/07/27,"101,211,639","1,199,924,024",11.8,12,11.7,11.85,0.15,"15,390"
105/07/28,"127,089,730","1,535,990,259",12.2,12.35,11.95,12,0.15,"17,769"
105/07/29,"98,442,609","1,156,576,338",11.85,11.9,11.6,11.8,-0.2,"12,079"
105/08/01,"59,668,773","701,119,344",11.7,11.8,11.65,11.8,0,"10,132"
105/08/02,"59,607,008","708,624,553",11.9,11.95,11.8,11.85,0.05,"14,219"
105/08/03,"85,652,441","998,818,778",11.7,11.75,11.55,11.7,-0.15,"11,940"
105/08/04,"52,798,189","620,191,284",11.7,11.9,11.6,11.85,0.15,"8,270"
105/08/05,"60,925,282","726,290,049",11.85,12,11.75,11.95,0.1,"9,334"
105/08/08,"75,777,063","921,152,954",12.25,12.3,12.05,12.15,0.2,"11,242"
105/08/09,"37,105,089","446,493,164",12.15,12.15,11.9,12,-0.15,"6,565"
105/08/10,"49,632,958","585,100,728",11.95,12,11.7,11.8,-0.2,"8,304"
105/08/11,"70,543,207","813,813,359",11.75,11.8,11.4,11.55,-0.25,"10,354"
105/08/12,"43,252,148","499,461,452",11.65,11.7,11.4,11.45,-0.1,"8,140"
105/08/15,"34,637,641","394,497,056",11.5,11.55,11.3,11.35,-0.1,"6,924"
105/08/16,"64,485,391","747,873,145",11.45,11.8,11.4,11.65,0.3,"10,642"
105/08/17,"41,126,373","470,249,825",11.65,11.7,11.25,11.35,-0.3,"9,059"
105/08/18,"43,492,602","493,455,077",11.35,11.45,11.2,11.45,0.1,"7,095"
105/08/19,"81,732,835","959,350,865",11.65,11.9,11.6,11.65,0.2,"11,560"
105/08/22,"50,031,358","583,013,631",11.85,11.85,11.5,11.6,-0.05,"7,193"
105/08/23,"41,763,508","486,080,010",11.6,11.75,11.5,11.65,0.05,"7,457"
105/08/24,"48,763,240","565,526,288",11.75,11.8,11.45,11.6,-0.05,"7,071"
105/08/25,"78,380,046","921,373,791",11.65,11.85,11.6,11.8,0.2,"11,485"
105/08/26,"39,114,873","455,629,938",11.75,11.75,11.6,11.65,-0.15,"6,759"
105/08/29,"48,137,460","550,013,622",11.6,11.65,11.3,11.4,-0.25,"6,761"
105/08/30,"33,366,934","381,562,217",11.5,11.55,11.35,11.4,0,"5,815"
105/08/31,"67,176,549","753,846,806",11.45,11.5,11.1,11.2,-0.2,"10,827"
105/09/01,"44,376,560","488,856,623",11.1,11.15,10.9,11,-0.2,"7,949"
105/09/02,"56,380,785","605,175,009",10.95,11.05,10.6,10.7,-0.3,"17,603"
105/09/05,"48,084,512","530,646,987",10.95,11.2,10.9,11.15,0.45,"12,595"
105/09/06,"37,052,039","413,641,091",11.15,11.25,11.05,11.2,0.05,"5,899"
105/09/07,"22,747,241","254,157,501",11.25,11.25,11.1,11.1,-0.1,"5,528"
105/09/08,"49,565,279","546,982,245",11.05,11.15,10.9,11.1,0,"6,977"
105/09/09,"33,620,254","368,585,688",11,11.05,10.9,10.95,-0.15,"5,395"
105/09/10,"45,584,432","484,757,755",10.65,10.7,10.55,10.6,-0.35,"6,802"
105/09/12,"64,943,242","685,481,405",10.6,10.75,10.4,10.4,-0.2,"8,654"
105/09/13,"64,349,793","682,053,402",10.65,10.75,10.45,10.5,0.1,"9,618"
105/09/14,"39,463,999","413,069,972",10.5,10.6,10.4,10.4,-0.1,"6,078"
105/09/19,"29,134,349","309,522,409",10.55,10.7,10.55,10.65,0.25,"5,193"
105/09/20,"66,471,741","718,490,602",10.65,11,10.6,10.9,0.25,"10,792"
105/09/21,"70,628,270","781,521,620",11.1,11.2,10.95,11,0.1,"9,576"
105/09/22,"37,888,037","415,480,463",11.15,11.15,10.85,10.9,-0.1,"6,575"
105/09/23,"32,827,860","359,305,246",10.95,11.05,10.85,10.9,0,"5,241"
105/09/26,"24,252,893","260,616,538",10.85,10.85,10.65,10.65,-0.25,"4,956"
105/09/29,"25,705,063","275,731,332",10.8,10.8,10.65,10.7,0.05,"5,707"
105/09/30,"30,268,628","320,251,947",10.65,10.65,10.5,10.6,-0.1,"5,117"
105/10/03,"72,350,699","788,578,744",10.7,11,10.65,10.9,0.3,"9,014"
105/10/04,"42,983,211","466,354,855",10.9,10.95,10.8,10.85,-0.05,"7,204"
105/10/05,"20,732,871","224,542,371",10.75,10.9,10.75,10.85,0,"3,275"
105/10/06,"45,767,936","502,533,095",10.95,11.1,10.9,11,0.15,"6,434"
105/10/07,"54,485,276","585,391,350",10.95,10.95,10.65,10.7,-0.3,"8,325"
105/10/11,"46,294,401","488,891,858",10.8,10.85,10.4,10.5,-0.2,"7,290"
105/10/12,"40,636,657","427,227,676",10.5,10.6,10.3,10.6,0.1,"5,517"
105/10/13,"36,589,472","384,184,290",10.55,10.6,10.4,10.5,-0.1,"7,111"
105/10/14,"27,359,942","286,749,876",10.5,10.55,10.4,10.5,0,"5,627"
105/10/17,"21,623,967","226,815,922",10.5,10.6,10.45,10.45,-0.05,"4,594"
105/10/18,"22,538,985","236,555,811",10.5,10.55,10.45,10.5,0.05,"4,656"
105/10/19,"39,492,362","419,563,901",10.55,10.7,10.5,10.6,0.1,"6,873"
105/10/20,"22,468,224","238,588,326",10.7,10.7,10.55,10.6,0,"3,745"
105/10/21,"86,735,382","945,758,006",10.7,11,10.7,10.9,0.3,"10,484"
105/10/24,"47,436,102","524,956,442",11.05,11.15,10.95,11,0.1,"7,744"
105/10/25,"69,584,050","778,959,455",11.1,11.25,11.05,11.2,0.2,"11,448"
105/10/26,"36,301,722","406,928,794",11.2,11.25,11.1,11.25,0.05,"5,194"
105/10/27,"42,262,741","473,338,801",11.35,11.4,11.05,11.05,-0.2,"6,495"
105/10/28,"46,790,323","509,158,801",11.1,11.15,10.75,10.85,-0.2,"6,544"
105/10/31,"55,941,596","597,323,973",10.8,10.85,10.6,10.65,-0.2,"8,730"
105/11/01,"74,824,273","821,343,153",10.75,11.05,10.7,11.05,0.4,"10,484"
105/11/02,"61,745,678","682,297,316",10.95,11.15,10.95,11.1,0.05,"9,750"
105/11/03,"41,100,496","452,461,284",11.1,11.15,10.9,10.95,-0.15,"7,243"
105/11/04,"72,661,305","813,119,511",11.15,11.3,11.05,11.15,0.2,"11,231"
105/11/07,"38,916,259","436,260,596",11.25,11.3,11.15,11.2,0.05,"5,895"
105/11/08,"53,863,640","608,760,546",11.3,11.4,11.25,11.25,0.05,"9,523"
105/11/09,"98,202,352","1,076,293,689",11.3,11.35,10.65,10.7,-0.55,"12,855"
105/11/10,"48,189,259","531,217,699",11.05,11.15,10.95,11.05,0.35,"6,470"
105/11/11,"50,400,422","547,149,193",10.9,10.95,10.7,10.95,-0.1,"7,403"
105/11/14,"34,141,202","369,501,950",10.95,10.95,10.75,10.75,-0.2,"6,479"
105/11/15,"43,109,326","470,576,701",10.8,11,10.75,10.8,0.05,"6,558"
105/11/16,"33,956,374","369,723,115",10.95,11,10.8,10.8,0,"5,906"
105/11/17,"43,249,547","472,042,731",10.8,11,10.75,10.95,0.15,"5,184"
105/11/18,"36,187,435","394,876,375",10.95,11,10.85,10.95,0,"6,019"
105/11/21,"60,997,231","679,508,173",11,11.25,11,11.15,0.2,"9,163"
105/11/22,"48,842,258","541,770,471",11.15,11.2,11,11,-0.15,"7,252"
105/11/23,"35,962,124","396,979,527",11.05,11.15,10.95,11,0,"5,673"
105/11/24,"29,017,077","316,734,505",11,11.05,10.85,10.9,-0.1,"4,331"
105/11/25,"26,587,185","288,762,908",10.9,11,10.8,10.8,-0.1,"6,225"
105/11/28,"20,926,458","226,673,497",10.9,10.95,10.8,10.8,0,"5,115"
105/11/29,"62,531,106","683,021,162",10.85,11.05,10.8,10.95,0.15,"8,807"
105/11/30,"47,459,433","520,622,844",10.95,11,10.85,11,0.05,"5,808"
105/12/01,"30,735,212","336,624,639",10.95,11.05,10.9,10.95,-0.05,"5,918"
105/12/02,"42,192,992","458,172,262",10.85,10.9,10.75,10.8,-0.15,"5,723"
105/12/05,"36,662,971","399,166,797",10.8,11,10.75,11,0.2,"5,835"
105/12/06,"40,745,181","447,671,147",11.05,11.05,10.9,11,0,"6,830"
105/12/07,"113,525,658","1,276,137,074",11.15,11.35,11.05,11.35,0.35,"14,665"
105/12/08,"85,978,269","981,797,938",11.4,11.55,11.35,11.4,0.05,"12,530"
105/12/09,"45,619,801","514,738,539",11.45,11.45,11.2,11.25,-0.15,"7,820"
105/12/12,"45,810,865","518,014,245",11.3,11.45,11.2,11.3,0.05,"7,884"
105/12/13,"33,853,422","382,140,147",11.25,11.4,11.2,11.25,-0.05,"5,872"
105/12/14,"47,661,163","538,693,342",11.3,11.35,11.25,11.3,0.05,"6,026"
105/12/15,"81,543,738","935,923,038",11.35,11.6,11.25,11.55,0.25,"11,785"
105/12/16,"68,778,354","800,446,649",11.65,11.75,11.5,11.55,0,"9,823"
105/12/19,"36,315,385","416,851,115",11.55,11.65,11.4,11.45,-0.1,"5,033"
105/12/20,"36,614,054","423,900,576",11.5,11.65,11.45,11.6,0.15,"6,485"
105/12/21,"85,650,682","1,013,801,429",11.7,11.9,11.7,11.8,0.2,"11,708"
105/12/22,"48,183,028","567,874,099",11.8,11.9,11.7,11.75,-0.05,"6,648"
105/12/23,"44,103,403","518,356,406",11.75,11.9,11.65,11.65,-0.1,"7,776"
105/12/26,"18,509,827","215,065,373",11.7,11.75,11.55,11.6,-0.05,"2,645"
105/12/27,"20,032,378","231,494,252",11.65,11.7,11.5,11.5,-0.1,"5,149"
105/12/28,"34,084,301","396,200,108",11.55,11.7,11.55,11.65,0.15,"5,996"
105/12/29,"30,605,427","354,303,149",11.6,11.65,11.5,11.55,-0.1,"5,690"
105/12/30,"35,716,804","413,791,345",11.55,11.65,11.5,11.6,0.05,"6,415"
106/01/03,"131,832,835","1,575,945,833",11.7,12.1,11.65,12.1,0.5,"16,390"
106/01/04,"95,286,587","1,160,628,513",12.15,12.3,12.05,12.15,0.05,"14,173"
106/01/05,"129,970,436","1,618,077,405",12.2,12.6,12.1,12.55,0.4,"15,839"
106/01/06,"126,913,718","1,630,229,828",12.6,13,12.6,12.95,0.4,"18,176"
106/01/09,"110,647,539","1,438,418,759",13.15,13.25,12.8,12.85,-0.1,"18,203"
106/01/10,"72,606,927","932,214,427",13,13.05,12.7,12.8,-0.05,"11,559"
106/01/11,"48,568,250","623,286,896",12.9,12.95,12.75,12.75,-0.05,"6,704"
106/01/12,"80,963,726","1,040,493,188",12.8,13,12.75,12.85,0.1,"11,114"
106/01/13,"65,916,491","850,379,783",12.85,13,12.75,13,0.15,"8,072"
106/01/16,"54,950,187","708,453,269",13.05,13.05,12.75,12.8,-0.2,"7,588"
106/01/17,"24,898,434","319,254,174",12.8,12.9,12.75,12.85,0.05,"3,812"
106/01/18,"109,456,041","1,435,075,628",12.85,13.3,12.8,13.2,0.35,"13,919"
106/01/19,"58,511,905","769,217,078",13.15,13.2,13.05,13.15,-0.05,"8,853"
106/01/20,"52,251,935","688,602,655",13.15,13.3,13.05,13.1,-0.05,"6,055"
106/01/23,"53,493,173","699,864,816",13.2,13.2,13,13.1,0,"6,864"
106/01/24,"58,327,331","766,221,489",13.05,13.2,13,13.2,0.1,"6,593"
106/02/02,"175,830,936","2,437,923,188",13.45,14.2,13.35,14.2,1,"25,569"
106/02/03,"87,508,953","1,219,918,347",14.2,14.2,13.75,13.95,-0.25,"14,896"
106/02/06,"83,957,932","1,173,936,350",14.05,14.15,13.8,13.9,-0.05,"13,625"
106/02/07,"77,417,645","1,053,677,169",13.8,13.85,13.45,13.55,-0.35,"11,948"
106/02/08,"132,202,304","1,738,383,413",13.5,13.5,12.95,13.05,-0.5,"15,666"
106/02/09,"95,070,953","1,247,703,020",13.05,13.35,12.8,13.35,0.3,"13,300"
106/02/10,"86,935,052","1,143,679,755",13.45,13.45,13,13,-0.35,"9,723"
106/02/13,"200,556,375","2,487,857,771",13.1,13.15,12.15,12.35,-0.65,"23,367"
106/02/14,"82,955,208","1,019,657,210",12.2,12.45,12.15,12.3,-0.05,"13,988"
106/02/15,"93,204,415","1,164,997,949",12.4,12.6,12.4,12.5,0.2,"12,860"
106/02/16,"70,368,804","881,381,220",12.65,12.65,12.45,12.55,0.05,"8,876"
106/02/17,"34,256,288","426,074,508",12.55,12.55,12.35,12.4,-0.15,"6,842"
