ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
106/06/02,"62,588,807","859,582,911",13.75,13.8,13.65,13.75,0.1,"8,841"
106/06/03,"40,919,193","563,128,768",13.8,13.8,13.7,13.8,0.05,"4,715"
106/06/05,"154,768,110","2,174,760,283",13.75,14.3,13.7,14.25,0.45,"20,817"
106/06/06,"149,361,119","2,159,685,885",14.35,14.6,14.3,14.35,0.1,"20,766"
106/06/07,"115,702,329","1,673,258,636",14.45,14.65,14.3,14.4,0.05,"19,448"
106/06/08,"94,897,191","1,352,614,135",14.45,14.5,14.15,14.15,-0.25,"15,855"
106/06/09,"117,448,739","1,640,488,962",14.1,14.2,13.8,13.8,-0.35,"18,850"
106/06/12,"55,010,929","762,913,516",13.75,14.05,13.6,14.05,0.25,"9,809"
106/06/13,"62,413,860","868,078,940",14.05,14.1,13.8,13.8,-0.25,"9,075"
106/06/14,"78,386,174","1,075,971,843",13.95,14,13.55,13.65,-0.15,"10,559"
106/06/15,"73,712,698","1,019,655,222",13.75,14.05,13.6,14.05,0.4,"11,609"
106/06/16,"143,260,484","2,039,930,719",14.15,14.35,14.15,14.2,0.15,"17,581"
106/06/19,"84,177,688","1,206,174,159",14.3,14.45,14.25,14.3,0.1,"11,685"
106/06/20,"97,958,973","1,413,248,096",14.4,14.55,14.35,14.4,0.1,"13,282"
106/06/21,"304,397,387","4,515,798,363",14.4,15.05,14.4,15,0.6,"40,040"
106/06/22,"156,800,794","2,366,409,160",15.15,15.25,15,15.05,0.05,"24,438"
106/06/23,"138,539,317","2,114,031,227",15.1,15.4,15.05,15.25,0.2,"18,397"
106/06/26,"231,296,711","3,644,582,287",15.5,16,15.5,16,0.75,"31,909"
106/06/27,"220,339,501","3,531,762,897",16.15,16.25,15.8,15.95,-0.05,"29,599"
106/06/28,"258,903,644","4,140,240,676",16.5,16.65,15.6,15.6,-0.35,"37,282"
106/06/29,"151,271,239","2,367,515,679",15.8,15.95,15.35,15.45,-0.15,"19,995"
106/06/30,"165,075,800","2,586,153,229",15.4,15.9,15.3,15.9,0.45,"18,712"
106/07/03,"139,846,223","2,252,059,568",16,16.35,15.9,16.3,0.4,"18,737"
106/07/04,"123,791,863","1,984,708,998",16.25,16.3,15.85,15.85,-0.45,"16,789"
106/07/05,"78,948,850","1,260,860,300",15.95,16.1,15.75,16.1,0.25,"11,458"
106/07/06,"79,792,667","1,270,410,513",16.1,16.1,15.85,15.85,-0.25,"10,056"
106/07/07,"106,294,844","1,651,271,340",15.7,15.75,15.4,15.4,-0.45,"15,974"
106/07/10,"87,393,967","1,352,661,092",15.5,15.65,15.3,15.35,-0.05,"12,820"
106/07/11,"95,855,150","1,499,041,372",15.45,15.75,15.4,15.75,X0.00,"12,290"
106/07/12,"72,572,335","1,151,881,470",15.8,16,15.8,15.8,0.05,"12,986"
106/07/13,"183,106,776","2,819,426,830",15.6,15.7,15.25,15.25,-0.55,"24,526"
106/07/14,"125,542,046","1,898,551,793",15.05,15.25,14.95,15.1,-0.15,"14,649"
106/07/17,"83,736,566","1,256,559,798",15.25,15.25,14.9,14.95,-0.15,"12,295"
106/07/18,"117,250,769","1,800,296,662",15.05,15.55,15,15.5,0.55,"16,223"
106/07/19,"103,327,213","1,606,048,457",15.55,15.65,15.4,15.55,0.05,"12,890"
106/07/20,"215,655,785","3,227,609,619",15.15,15.25,14.75,14.8,-0.75,"28,957"
106/07/21,"176,067,351","2,573,453,491",14.65,14.8,14.45,14.7,-0.1,"20,569"
106/07/24,"81,242,034","1,192,379,802",14.7,14.8,14.55,14.75,0.05,"11,804"
106/07/25,"120,327,829","1,791,928,938",14.75,15.05,14.7,14.9,0.15,"19,551"
106/07/26,"124,174,258","1,820,828,150",14.9,14.95,14.5,14.55,-0.35,"18,084"
